iter	RMSE
0	0.7118817953
1	0.6857873895
2	0.6617004605
3	0.6381659848
4	0.6159827832
5	0.5960672512
6	0.5767186473
7	0.5580444811
8	0.5407025133
9	0.524414245
10	0.5079415144
11	0.4940785033
12	0.4807983108
13	0.4681964171
14	0.4565894915
15	0.4454706321
16	0.4353386711
17	0.42556784
18	0.4166313419
19	0.4082579018
20	0.3992368446
21	0.3910391432
22	0.3830007114
23	0.3763298687
24	0.3700147359
25	0.3646864803
26	0.3595891532
27	0.3541610806
28	0.3493722888
29	0.3445389184
30	0.3405379993
31	0.3368541256
32	0.3325551942
33	0.3292440226
34	0.3259390548
35	0.3222230611
36	0.3188540322
37	0.3160322737
38	0.3128215497
39	0.3099554394
40	0.3072538664
41	0.3053644208
42	0.3033117728
43	0.3011579668
44	0.2988567166
45	0.2967561737
46	0.2949319434
47	0.2923814654
48	0.2905737234
49	0.288720231
50	0.2874415155
51	0.285862786
52	0.2844099021
53	0.2830580965
54	0.2816893695
55	0.2805233349
56	0.2791847893
57	0.277819347
58	0.2767130515
59	0.2755784014
60	0.274747482
61	0.2739467837
62	0.2731003914
63	0.2720935238
64	0.2711824762
65	0.2702687285
66	0.2694867618
67	0.2686334217
68	0.268052314
69	0.2673279247
70	0.2663283699
71	0.2653243712
72	0.2643505261
73	0.2635819934
74	0.2630224986
75	0.2627424948
76	0.2615216611
77	0.2606561568
78	0.2598914435
79	0.2591770228
80	0.2586056736
81	0.2579064464
82	0.25733555
83	0.2567156232
84	0.2559201622
85	0.2550378538
86	0.2545920317
87	0.2541852563
88	0.2534785998
89	0.2529036512
90	0.2516354478
91	0.2512911467
92	0.250730126
93	0.2503227672
94	0.2501299384
95	0.2496606369
96	0.2489165462
97	0.2485550266
98	0.2478012543
99	0.2473491911
100	0.2467801542
101	0.2463739092
102	0.2460111062
103	0.2455173712
104	0.2451079909
105	0.2444142686
106	0.2441659388
107	0.2438873373
108	0.2435339758
109	0.2430661029
110	0.2429200213
111	0.2426292193
112	0.2423158113
113	0.2419373324
114	0.2414485519
115	0.2411461918
116	0.2401914512
117	0.239902917
118	0.2394852402
119	0.2389335159
120	0.2387093279
121	0.238144768
122	0.2378826612
123	0.2373356064
124	0.2371017445
125	0.2367513519
126	0.2364608036
127	0.2363134346
128	0.2357580443
129	0.2355364963
130	0.2348571685
131	0.2343298712
132	0.2339744116
133	0.2338628388
134	0.2331775965
135	0.2330229603
136	0.232449432
137	0.232010652
138	0.2313315472
139	0.2310083227
140	0.2306293171
141	0.2302383667
142	0.2298332792
143	0.2294822166
144	0.2293110932
145	0.2285737881
146	0.2284980399
147	0.2281221465
148	0.2277783896
149	0.2274998235
150	0.2273231886
151	0.2269224314
152	0.2264812808
153	0.2261433931
154	0.2257968407
155	0.2256329671
156	0.2251828467
157	0.2246443921
158	0.2244307534
159	0.2243199726
160	0.223801203
161	0.2233835166
162	0.2226485532
163	0.2224760762
164	0.2222550492
165	0.2220083975
166	0.2217724294
167	0.2216520399
168	0.2209926329
169	0.220738387
170	0.2206258442
171	0.2204960667
172	0.2202354241
173	0.2199087047
174	0.2197947772
175	0.2193792909
176	0.2191127584
177	0.2188069046
178	0.2186024932
179	0.2184052035
180	0.2181831648
181	0.2179720422
182	0.2176761675
183	0.2174864516
184	0.2172142305
185	0.2169575636
186	0.2167363935
187	0.2164044906
188	0.2161451154
189	0.2158848649
190	0.2156866576
191	0.2152518858
192	0.2150794043
193	0.21469611
194	0.2143311221
195	0.213955225
196	0.2137544728
197	0.2135234412
198	0.2134675119
199	0.2132546073
200	0.2128009958
201	0.2126075077
202	0.2122488835
203	0.2120256562
204	0.2118751295
205	0.2113769327
206	0.2111690366
207	0.2109679564
208	0.2107752805
209	0.2105702559
210	0.2103827236
211	0.2101487987
212	0.2100167043
213	0.2098118567
214	0.2096313862
215	0.2091967788
216	0.2090245235
217	0.2088882202
218	0.208712158
219	0.2086260341
220	0.2082526246
221	0.2080994747
222	0.2078725265
223	0.2075395515
224	0.207415861
225	0.2072077105
226	0.2070171755
227	0.2068121128
228	0.2065483113
229	0.2064744603
230	0.206268063
231	0.2061767168
232	0.2059932971
233	0.2057458959
234	0.2056378118
235	0.2055187413
236	0.2050099455
237	0.2047421165
238	0.2045629376
239	0.2043619619
240	0.2041911457
241	0.2040317292
242	0.2035900679
243	0.2033441507
244	0.2031306507
245	0.2029366107
246	0.2028363575
247	0.2026637528
248	0.2025639783
249	0.2021482586
250	0.2018119004
251	0.2016232228
252	0.2014674687
253	0.2013472489
254	0.2009511744
255	0.200885269
256	0.2007055145
257	0.2005510658
258	0.2003271905
259	0.200188976
260	0.199877944
261	0.1997366106
262	0.1994398798
263	0.1993852176
264	0.1990433038
265	0.1988899781
266	0.1987736952
267	0.1986457956
268	0.1984589675
269	0.1983286423
270	0.1982089526
271	0.1980753105
272	0.1979689657
273	0.1977599341
274	0.1976360213
275	0.1972231511
276	0.1970225317
277	0.1969091229
278	0.1968241955
279	0.1964603116
280	0.1963684712
281	0.1962766376
282	0.1961254803
283	0.1958299188
284	0.1957160348
285	0.1954104743
286	0.1951899247
287	0.1949176437
288	0.1945964348
289	0.1944823352
290	0.1943462251
291	0.1942342694
292	0.1940475803
293	0.1938718782
294	0.193800716
295	0.193587735
296	0.1934157902
297	0.193289852
298	0.1931234176
299	0.1930383833
300	0.1929124491
301	0.192794279
302	0.1926109163
303	0.1925191383
304	0.1922815369
305	0.1920696005
306	0.1919641849
307	0.1918661379
308	0.19175
309	0.1916512141
310	0.1913734467
311	0.191260994
312	0.1911763625
313	0.1910681342
314	0.1909560274
315	0.1907575899
316	0.1906492382
317	0.1905551307
318	0.1904762228
319	0.1902243898
320	0.1901669259
321	0.1899601162
322	0.1897583295
323	0.1896347663
324	0.1895332257
325	0.1894382632
