iter	Passed	Remaining
0	8	8716
1	16	8163
2	23	7936
3	31	7795
4	38	7704
5	46	7645
6	53	7619
7	60	7473
8	65	7195
9	70	6969
10	75	6823
11	81	6704
12	86	6589
13	91	6468
14	96	6352
15	101	6255
16	107	6227
17	112	6146
18	117	6070
19	122	6003
20	127	5934
21	132	5880
22	137	5827
23	142	5776
24	146	5726
25	151	5681
26	156	5640
27	161	5598
28	164	5522
29	167	5431
30	171	5345
31	174	5266
32	177	5192
33	181	5144
34	184	5097
35	188	5048
36	192	5006
37	195	4956
38	200	4933
39	204	4907
40	208	4868
41	211	4813
42	213	4761
43	216	4710
44	219	4663
45	223	4625
46	225	4581
47	228	4540
48	231	4501
49	234	4462
50	239	4452
51	242	4416
52	245	4380
53	248	4345
54	251	4316
55	254	4285
56	257	4254
57	260	4222
58	262	4191
59	265	4163
60	268	4135
61	271	4108
62	274	4082
63	277	4056
64	280	4030
65	283	4006
66	285	3981
67	288	3957
68	291	3935
69	294	3913
70	297	3892
71	300	3872
72	303	3851
73	306	3830
74	309	3811
75	311	3792
76	314	3774
77	317	3755
78	320	3737
79	323	3719
80	326	3703
81	329	3686
82	332	3669
83	334	3652
84	337	3636
85	340	3621
86	343	3605
87	346	3590
88	349	3575
89	352	3562
90	355	3549
91	358	3535
92	361	3522
93	363	3507
94	366	3493
95	369	3483
96	373	3479
97	377	3471
98	380	3463
99	383	3455
100	387	3447
101	390	3439
102	394	3431
103	398	3434
104	402	3428
105	405	3416
106	407	3404
107	410	3392
108	413	3382
109	416	3370
110	419	3358
111	422	3346
112	424	3335
113	429	3336
114	432	3326
115	435	3317
116	438	3307
117	441	3297
118	444	3289
119	447	3279
120	449	3268
121	452	3258
122	455	3248
123	458	3239
124	461	3229
125	464	3219
126	467	3210
127	469	3201
128	472	3192
129	475	3184
130	478	3175
131	481	3166
132	484	3157
133	487	3149
134	490	3140
135	492	3131
136	495	3124
137	498	3115
138	501	3107
139	504	3099
140	507	3091
141	510	3083
142	513	3075
143	515	3066
144	518	3058
145	521	3051
146	524	3043
147	527	3035
148	530	3027
149	532	3020
150	535	3012
151	538	3005
152	541	2998
153	544	2991
154	547	2983
155	550	2975
156	552	2968
157	555	2962
158	558	2955
159	562	2953
160	567	2956
161	570	2951
162	574	2948
163	577	2943
164	580	2939
165	584	2934
166	587	2928
167	590	2925
168	596	2932
169	600	2929
170	603	2923
171	606	2918
172	609	2914
173	613	2911
174	616	2905
175	619	2901
176	623	2897
177	629	2906
178	633	2905
179	637	2901
180	639	2895
181	644	2895
182	647	2888
183	649	2882
184	652	2875
185	655	2869
186	658	2863
187	661	2857
188	664	2850
189	667	2844
190	670	2838
191	673	2832
192	675	2825
193	678	2819
194	681	2814
195	684	2807
196	687	2801
197	690	2795
198	692	2789
199	695	2783
200	698	2777
201	701	2771
202	704	2766
203	707	2760
204	710	2754
205	713	2748
206	715	2742
207	718	2736
208	721	2731
209	724	2725
210	727	2720
211	730	2714
212	733	2708
213	736	2703
214	738	2697
215	741	2692
216	744	2687
217	747	2682
218	750	2676
219	753	2671
220	757	2668
221	760	2665
222	763	2661
223	767	2658
224	770	2654
225	773	2650
226	777	2646
227	780	2642
228	783	2639
229	787	2635
230	790	2632
231	794	2631
232	800	2633
233	803	2629
234	806	2624
235	809	2619
236	812	2615
237	815	2610
238	818	2604
239	821	2599
240	823	2594
241	828	2594
242	831	2589
243	834	2584
244	837	2579
245	840	2574
246	843	2571
247	846	2565
248	849	2561
249	852	2556
250	855	2551
251	858	2547
252	860	2542
253	863	2537
254	866	2532
255	869	2526
256	872	2521
257	875	2516
258	878	2511
259	880	2506
260	883	2502
261	887	2498
262	890	2494
263	892	2489
264	895	2484
265	898	2479
266	901	2475
267	904	2470
268	907	2465
269	910	2460
270	912	2455
271	915	2451
272	918	2446
273	921	2441
274	924	2436
275	927	2432
276	929	2427
277	932	2422
278	935	2418
279	938	2413
280	941	2409
281	944	2404
282	948	2401
283	951	2399
284	955	2396
285	958	2394
286	962	2390
287	965	2388
288	970	2386
289	973	2382
290	976	2378
291	979	2373
292	981	2369
293	984	2365
294	987	2360
295	992	2360
296	995	2356
297	998	2352
298	1001	2347
299	1004	2344
300	1007	2340
301	1010	2336
302	1013	2331
303	1016	2327
304	1020	2324
305	1022	2320
306	1025	2315
307	1028	2311
308	1031	2307
309	1034	2302
310	1037	2298
311	1040	2294
312	1043	2289
313	1046	2285
314	1049	2281
315	1052	2278
316	1055	2274
317	1058	2270
318	1061	2265
319	1064	2261
320	1067	2257
321	1070	2253
322	1073	2249
323	1075	2244
324	1079	2241
325	1081	2236
326	1084	2232
327	1087	2228
328	1090	2224
329	1093	2220
330	1096	2216
331	1099	2212
332	1102	2208
333	1105	2204
334	1108	2200
335	1111	2196
336	1114	2191
337	1117	2187
338	1120	2184
339	1123	2180
340	1125	2175
341	1128	2171
342	1131	2167
343	1134	2163
344	1137	2159
345	1141	2157
346	1144	2154
347	1148	2151
348	1151	2148
349	1154	2144
350	1158	2141
351	1161	2138
352	1165	2136
353	1168	2133
354	1171	2129
355	1174	2125
356	1177	2120
357	1180	2117
358	1183	2113
359	1186	2109
360	1189	2105
361	1192	2101
362	1196	2099
363	1199	2095
364	1202	2091
365	1205	2087
366	1207	2083
367	1210	2079
368	1213	2075
369	1216	2071
370	1219	2067
371	1222	2063
372	1225	2059
373	1228	2055
374	1231	2051
375	1233	2047
376	1236	2043
377	1239	2040
378	1242	2036
379	1245	2032
380	1248	2028
381	1251	2024
382	1254	2020
383	1257	2016
384	1260	2012
385	1262	2008
386	1265	2004
387	1268	2000
388	1271	1997
389	1274	1993
390	1277	1989
391	1280	1985
392	1283	1981
393	1287	1979
394	1305	1999
395	1312	2001
396	1319	2004
397	1326	2007
398	1335	2012
399	1344	2017
400	1353	2022
401	1361	2025
402	1367	2025
403	1372	2024
404	1377	2023
405	1382	2023
406	1387	2021
407	1391	2018
408	1394	2014
409	1397	2010
410	1399	2006
411	1403	2002
412	1405	1998
413	1408	1994
414	1411	1990
415	1414	1985
416	1418	1983
417	1421	1979
418	1424	1975
419	1427	1971
420	1430	1966
421	1433	1963
422	1436	1958
423	1438	1954
424	1441	1950
425	1444	1946
426	1447	1942
427	1450	1938
428	1453	1934
429	1456	1930
430	1459	1926
431	1462	1922
432	1465	1918
433	1468	1914
434	1471	1910
435	1473	1906
436	1476	1902
437	1479	1898
438	1482	1894
439	1485	1890
440	1488	1886
441	1491	1882
442	1494	1878
443	1497	1874
444	1500	1870
445	1503	1866
446	1505	1863
447	1508	1858
448	1511	1854
449	1514	1850
450	1517	1847
451	1520	1843
452	1524	1841
453	1529	1838
454	1532	1835
455	1536	1833
456	1540	1830
457	1544	1827
458	1547	1824
459	1550	1820
460	1553	1816
461	1556	1812
462	1559	1808
463	1562	1804
464	1566	1801
465	1569	1798
466	1572	1794
467	1574	1790
468	1577	1786
469	1580	1782
470	1583	1778
471	1586	1775
472	1589	1771
473	1592	1767
474	1595	1763
475	1598	1759
476	1601	1755
477	1604	1751
478	1607	1747
479	1609	1743
480	1612	1740
481	1615	1736
482	1618	1732
483	1622	1729
484	1625	1726
485	1628	1722
486	1632	1719
487	1635	1715
488	1638	1711
489	1641	1708
490	1644	1704
491	1647	1701
492	1650	1697
493	1653	1693
494	1656	1689
495	1659	1686
496	1662	1682
497	1665	1678
498	1668	1675
499	1671	1671
500	1674	1668
501	1677	1664
502	1680	1660
503	1684	1657
504	1687	1653
505	1690	1650
506	1693	1646
507	1696	1642
508	1699	1639
509	1702	1636
510	1706	1632
511	1709	1628
512	1712	1625
513	1716	1622
514	1720	1619
515	1722	1616
516	1726	1612
517	1729	1609
518	1732	1605
519	1736	1602
520	1739	1599
521	1743	1596
522	1747	1593
523	1751	1591
524	1754	1587
525	1758	1584
526	1761	1581
527	1764	1577
528	1767	1573
529	1770	1569
530	1774	1567
531	1777	1563
532	1780	1560
533	1783	1556
534	1786	1552
535	1790	1550
536	1793	1546
537	1796	1543
538	1799	1539
539	1803	1536
540	1806	1532
541	1809	1528
542	1812	1525
543	1815	1521
544	1818	1518
545	1821	1514
546	1824	1511
547	1827	1507
548	1830	1503
549	1834	1500
550	1837	1497
551	1840	1493
552	1843	1489
553	1845	1486
554	1849	1482
555	1852	1479
556	1855	1475
557	1858	1472
558	1861	1468
559	1865	1465
560	1868	1461
561	1871	1458
562	1874	1455
563	1877	1451
564	1881	1448
565	1884	1444
566	1887	1441
567	1890	1437
568	1893	1434
569	1896	1430
570	1899	1427
571	1902	1423
572	1905	1420
573	1908	1416
574	1913	1414
575	1916	1410
576	1919	1407
577	1922	1403
578	1925	1400
579	1929	1397
580	1933	1394
581	1936	1391
582	1940	1388
583	1944	1384
584	1948	1382
585	1952	1379
586	1956	1376
587	1959	1372
588	1962	1369
589	1965	1366
590	1968	1362
591	1972	1359
592	1975	1356
593	1979	1352
594	1982	1349
595	1985	1345
596	1988	1342
597	1991	1338
598	1995	1335
599	1998	1332
600	2001	1329
601	2005	1325
602	2008	1322
603	2011	1318
604	2014	1315
605	2018	1312
606	2021	1308
607	2024	1305
608	2027	1301
609	2031	1298
610	2033	1294
611	2036	1291
612	2040	1288
613	2043	1284
614	2046	1280
615	2049	1277
616	2052	1273
617	2055	1270
618	2057	1266
619	2061	1263
620	2064	1260
621	2068	1256
622	2071	1253
623	2074	1250
624	2077	1246
625	2080	1243
626	2084	1240
627	2087	1236
628	2091	1233
629	2094	1229
630	2096	1226
631	2100	1222
632	2103	1219
633	2107	1216
634	2111	1213
635	2115	1210
636	2118	1207
637	2122	1204
638	2125	1200
639	2129	1197
640	2132	1194
641	2137	1192
642	2140	1188
643	2144	1185
644	2148	1182
645	2151	1178
646	2154	1175
647	2157	1171
648	2161	1168
649	2164	1165
650	2167	1162
651	2170	1158
652	2174	1155
653	2177	1152
654	2180	1148
655	2183	1145
656	2186	1141
657	2190	1138
658	2193	1135
659	2196	1131
660	2200	1128
661	2202	1124
662	2206	1121
663	2209	1118
664	2212	1114
665	2215	1111
666	2218	1107
667	2221	1104
668	2225	1100
669	2228	1097
670	2231	1094
671	2234	1090
672	2238	1087
673	2241	1083
674	2244	1080
675	2247	1077
676	2250	1073
677	2253	1070
678	2257	1067
679	2259	1063
680	2262	1059
681	2266	1056
682	2269	1053
683	2272	1049
684	2275	1046
685	2278	1043
686	2282	1039
687	2285	1036
688	2288	1033
689	2291	1029
690	2294	1026
691	2297	1022
692	2300	1019
693	2305	1016
694	2309	1013
695	2312	1010
696	2315	1006
697	2318	1003
698	2322	999
699	2326	997
700	2329	993
701	2333	990
702	2337	987
703	2341	984
704	2345	981
705	2349	978
706	2352	975
707	2356	971
708	2359	968
709	2362	965
710	2366	961
711	2369	958
712	2372	955
713	2375	951
714	2378	948
715	2382	944
716	2385	941
717	2388	938
718	2391	934
719	2394	931
720	2398	927
721	2401	924
722	2404	921
723	2407	917
724	2410	914
725	2413	910
726	2416	907
727	2420	904
728	2423	900
729	2426	897
730	2430	894
731	2432	890
732	2435	887
733	2439	884
734	2442	880
735	2446	877
736	2448	873
737	2451	870
738	2455	867
739	2458	863
740	2462	860
741	2465	857
742	2468	853
743	2471	850
744	2474	847
745	2477	843
746	2480	840
747	2484	836
748	2487	833
749	2490	830
750	2493	826
751	2496	823
752	2501	820
753	2506	817
754	2509	814
755	2512	810
756	2516	807
757	2519	804
758	2523	801
759	2526	797
760	2530	794
761	2533	791
762	2537	788
763	2541	784
764	2545	781
765	2548	778
766	2552	775
767	2555	771
768	2558	768
769	2561	765
770	2565	761
771	2568	758
772	2571	755
773	2575	751
774	2578	748
775	2582	745
776	2585	742
777	2589	738
778	2591	735
779	2594	731
780	2598	728
781	2601	725
782	2604	721
783	2607	718
784	2610	715
785	2614	711
786	2617	708
787	2620	705
788	2623	701
789	2627	698
790	2630	694
791	2633	691
792	2636	688
793	2639	684
794	2643	681
795	2646	678
796	2650	675
797	2653	671
798	2656	668
799	2659	664
800	2662	661
801	2665	658
802	2668	654
803	2671	651
804	2675	648
805	2678	644
806	2681	641
807	2684	637
808	2687	634
809	2691	631
810	2693	627
811	2697	624
812	2701	621
813	2704	617
814	2707	614
815	2711	611
816	2714	608
817	2718	604
818	2721	601
819	2725	598
820	2728	594
821	2730	591
822	2734	588
823	2736	584
824	2740	581
825	2743	577
826	2746	574
827	2749	571
828	2752	567
829	2755	564
830	2758	561
831	2761	557
832	2764	554
833	2767	550
834	2770	547
835	2773	544
836	2776	540
837	2779	537
838	2782	533
839	2785	530
840	2787	527
841	2790	523
842	2793	520
843	2796	516
844	2799	513
845	2802	510
846	2805	506
847	2808	503
848	2811	499
849	2814	496
850	2816	493
851	2819	489
852	2823	486
853	2825	483
854	2828	479
855	2831	476
856	2834	472
857	2837	469
858	2840	466
859	2843	462
860	2846	459
861	2849	456
862	2852	452
863	2855	449
864	2858	446
865	2861	442
866	2864	439
867	2867	436
868	2870	432
869	2873	429
870	2876	425
871	2878	422
872	2881	419
873	2885	415
874	2887	412
875	2890	409
876	2893	405
877	2896	402
878	2900	399
879	2904	396
880	2907	392
881	2911	389
882	2914	386
883	2918	382
884	2921	379
885	2925	376
886	2930	373
887	2933	370
888	2937	366
889	2941	363
890	2944	360
891	2948	356
892	2952	353
893	2956	350
894	2959	347
895	2962	343
896	2965	340
897	2968	337
898	2971	333
899	2974	330
900	2977	327
901	2980	323
902	2984	320
903	2988	317
904	2991	314
905	2994	310
906	2997	307
907	3000	303
908	3003	300
909	3006	297
910	3009	293
911	3012	290
912	3015	287
913	3018	284
914	3021	280
915	3024	277
916	3026	273
917	3029	270
918	3032	267
919	3035	263
920	3038	260
921	3041	257
922	3044	253
923	3047	250
924	3050	247
925	3053	243
926	3056	240
927	3059	237
928	3062	234
929	3065	230
930	3068	227
931	3071	224
932	3073	220
933	3076	217
934	3079	214
935	3082	210
936	3085	207
937	3088	204
938	3092	200
939	3096	197
940	3099	194
941	3102	191
942	3105	187
943	3109	184
944	3112	181
945	3116	177
946	3119	174
947	3122	171
948	3126	168
949	3129	164
950	3132	161
951	3135	158
952	3138	154
953	3141	151
954	3144	148
955	3148	144
956	3150	141
957	3153	138
958	3156	134
959	3159	131
960	3162	128
961	3165	125
962	3168	121
963	3171	118
964	3174	115
965	3177	111
966	3180	108
967	3183	105
968	3186	101
969	3189	98
970	3193	95
971	3197	92
972	3200	88
973	3203	85
974	3206	82
975	3209	78
976	3211	75
977	3214	72
978	3217	69
979	3220	65
980	3223	62
981	3226	59
982	3229	55
983	3232	52
984	3235	49
985	3238	45
986	3240	42
987	3243	39
988	3246	36
989	3249	32
990	3252	29
991	3255	26
992	3258	22
993	3261	19
994	3264	16
995	3267	13
996	3270	9
997	3273	6
998	3276	3
999	3278	0
