VehicleID,Location,Maker,Model,Year,Colour,Type,Distance,Amount
VHL12546,Abuja,Honda,Accord Coupe EX V-6,2011.0,Silver,Nigerian Used,99631.70047169812,2.2
VHL18827,Ibadan,Hyundai,Sonata,2012.0,Silver,Nigerian Used,125000.0,3.5
VHL19499,Lagos,Lexus,RX 350,2010.0,Red,Foreign Used,110852.0,9.2
VHL17991,Abuja,Mercedes-Benz,GLE-Class,2017.0,Blue,Foreign Used,30000.0,22.8
VHL12170,Ibadan,Toyota,Highlander,2002.0,Red,Nigerian Used,125206.0,2.6
VHL19996,Lagos,Toyota,Venza V6,2011.0,Black,Foreign Used,99631.70047169812,7.5
VHL16314,Lagos,Lexus,LX 570 AWD,2019.0,Black,Foreign Used,23881.0,79.0
VHL14299,Abuja,Toyota,Avalon,2015.0,Gold,Foreign Used,66000.63322884013,9.0
VHL15637,Lagos,Toyota,Sienna,2012.0,Blue,Foreign Used,101710.27189439154,7.76
VHL15752,Ibadan,Mercedes-Benz,C240 Matt,2004.0,Black,Foreign Used,179638.0,2.5
VHL10459,Lagos,Acura,RDX SH-AWD,2012.0,White,Foreign Used,75858.0,7.2
VHL15950,Lagos,Toyota,Avensis 1.8 Sedan,2003.0,Silver,Foreign Used,111289.0,3.26
VHL13916,Lagos,Toyota,Corolla,2008.0,Black,Nigerian Used,126075.0,1.91
VHL10209,Lagos,Toyota,Venza V6 AWD,2010.0,White,Foreign Used,111522.88737864078,6.95
VHL15431,Abuja,Toyota,Hilux SR5+ 4x4,2018.0,Black,Foreign Used,16000.0,17.0
VHL14203,Lagos,Lexus,ES 350,2008.0,Blue,Nigerian Used,120987.17749603803,3.55
VHL16065,Abuja,Toyota,Tacoma Limited,2017.0,Gray,Foreign Used,52352.0,22.0
VHL16048,Abuja,Toyota,Hilux,2020.0,White,Brand New,7523.0,23.0
VHL18666,Lagos,Lexus,RX 350 AWD,2015.0,Black,Foreign Used,66000.63322884013,14.0
VHL10724,Lagos,Toyota,Avalon,2011.0,Gray,Foreign Used,75300.0,4.9
VHL13812,Lagos,Dodge,Caravan Cargo Van,2006.0,Red,Foreign Used,170671.0,2.48
VHL12573,Abuja,Nissan,Altima,2020.0,Gray,Foreign Used,9000.0,16.0
VHL14526,Lagos,Mercedes-Benz,M Class,2006.0,Silver,Foreign Used,146108.96941896025,4.6
VHL10853,Ibadan,Toyota,Highlander XLE V6 4x4 (3.5L 6cyl 6A),2016.0,Gray,Foreign Used,20189.0,15.0
VHL17018,Abuja,Mercedes-Benz,E350,2014.0,Silver,Foreign Used,40000.0,11.85
VHL18463,Abuja,Honda,Ridgeline,2007.0,Black,Foreign Used,100000.0,4.1
VHL18173,Abuja,Kia,Optima,2014.0,Burgandy,Foreign Used,77686.18630136986,4.5
VHL10241,Lagos,Lexus,ES 350,2007.0,Gray,Foreign Used,85474.0,4.2
VHL19024,Abuja,Toyota,Venza V6 AWD,2010.0,Green,Foreign Used,42483.0,9.0
VHL13114,Abuja,Toyota,Venza AWD,2010.0,Green,Foreign Used,49000.0,7.8
VHL17026,Lagos,Toyota,Sequoia,2009.0,Black,Nigerian Used,140000.0,5.9
VHL19933,Abuja,Toyota,Camry,2014.0,Gray,Nigerian Used,128885.0,4.0
VHL17277,Ibadan,Toyota,RAV4 Limited V6 4x4,2007.0,Green,Foreign Used,96000.0,4.0
VHL13475,Ibadan,Toyota,Camry,2003.0,Silver,Foreign Used,130000.0,2.4
VHL11275,Lagos,Mercedes-Benz,GL-Class,2014.0,White,Foreign Used,118285.0,17.0
VHL10174,Abuja,BMW,X5 4.4i,2006.0,Gray,Foreign Used,146108.96941896025,3.0
VHL17838,Abuja,Toyota,Highlander,2005.0,Black,Nigerian Used,124540.0,3.2
VHL16443,Abuja,Toyota,Camry,2009.0,Gray,Nigerian Used,88800.0,2.66
VHL14714,Abuja,Toyota,Hilux,2021.0,White,Brand New,100.0,23.0
VHL16117,Abuja,Toyota,Land Cruiser 5.7 V8 VX-S,2019.0,Black,Foreign Used,52000.0,115.0
VHL13689,Abuja,Honda,Accord,2016.0,Gray,Foreign Used,59739.19502074689,7.8
VHL16862,Abuja,Volvo,XC90,2005.0,Gray,Foreign Used,180003.0,3.3
VHL11856,Ibadan,Lexus,ES 350,2010.0,White,Foreign Used,111522.88737864078,5.5
VHL17501,Abuja,Toyota,Corolla,2013.0,Red,Nigerian Used,50000.0,3.85
VHL18676,Abuja,Toyota,Corolla LE,2007.0,Silver,Nigerian Used,139643.87962962964,2.3
VHL18868,Abuja,Mercedes-Benz,C350,2008.0,Silver,Nigerian Used,120213.0,3.5
VHL17663,Abuja,Lexus,LX 570 AWD,2017.0,White,Foreign Used,32000.0,58.9
VHL13818,Lagos,Lexus,RX 350 FWD,2019.0,White,Foreign Used,4000.0,22.0
VHL14263,Abuja,Mercedes-Benz,C320,2004.0,Silver,Foreign Used,180983.2039800995,2.8
VHL18551,Lagos,Lexus,ES 350,2011.0,Silver,Foreign Used,99631.70047169812,6.5
VHL16010,Lagos,Toyota,RAV4 XLE AWD (2.5L 4cyl 6A),2013.0,Gray,Foreign Used,87886.068,8.25
VHL14482,Lagos,Mercedes-Benz,M Class,2010.0,Gold,Foreign Used,111522.88737864078,6.8
VHL10028,Lagos,Nissan,Maxima,2010.0,Violet,Foreign Used,139938.0,2.08
VHL14986,Lagos,Ford,Escape,2005.0,Silver,Nigerian Used,163801.0,1.46
