index,Location,Maker,Model,Year,Colour,Distance,Amount,Use_type_Brand New,Use_type_Foreign Used,Use_type_Nigerian Used
0,0,17,141,2011.0,18,99631.70047169812,1.1631508098056809,0,0,1
1,1,19,1202,2012.0,18,125000.0,1.5040773967762742,0,0,1
2,2,29,1038,2010.0,17,110852.0,2.322387720290225,0,1,0
3,0,34,588,2017.0,3,30000.0,3.169685580677429,0,1,0
4,1,53,657,2002.0,17,125206.0,1.2809338454620642,0,0,1
5,2,53,1313,2011.0,2,99631.70047169812,2.1400661634962708,0,1,0
6,2,29,775,2019.0,2,23881.0,4.382026634673881,0,1,0
7,0,53,185,2015.0,8,66000.63322884013,2.302585092994046,0,1,0
8,2,53,1163,2012.0,3,87886.068,2.1701959049483,0,1,0
9,1,34,248,2004.0,2,179638.0,1.252762968495368,0,1,0
10,2,0,1025,2012.0,22,75858.0,2.1041341542702074,0,1,0
11,2,53,203,2003.0,18,111289.0,1.449269160281279,0,1,0
12,2,53,406,2008.0,2,126075.0,1.0681530811834012,0,0,1
13,2,53,1314,2010.0,22,111522.88737864078,2.0731719286662407,0,1,0
14,0,53,711,2018.0,2,16000.0,2.8903717578961645,0,1,0
15,2,29,480,2008.0,3,120987.17749603803,1.5151272329628591,0,0,1
16,0,53,1253,2017.0,9,52352.0,3.1354942159291497,0,1,0
17,0,53,696,2020.0,22,7523.0,3.1780538303479458,1,0,0
18,2,29,1042,2015.0,2,66000.63322884013,2.70805020110221,0,1,0
19,2,53,185,2011.0,9,75300.0,1.7749523509116738,0,1,0
20,2,11,353,2006.0,17,170671.0,1.247032293786383,0,1,0
21,0,37,177,2020.0,9,9000.0,2.833213344056216,0,1,0
22,2,34,840,2006.0,18,146108.96941896025,1.7227665977411035,0,1,0
23,1,53,695,2016.0,9,20189.0,2.772588722239781,0,1,0
24,0,34,465,2014.0,18,40000.0,2.553343811341229,0,1,0
25,0,17,1089,2007.0,2,100000.0,1.62924053973028,0,1,0
26,0,25,914,2014.0,5,77686.18630136986,1.7047480922384253,0,1,0
27,2,29,480,2007.0,9,85474.0,1.6486586255873816,0,1,0
28,0,53,1314,2010.0,10,42483.0,2.302585092994046,0,1,0
29,0,53,1307,2010.0,10,49000.0,2.174751721484161,0,1,0
30,2,53,1157,2009.0,2,140000.0,1.9315214116032138,0,0,1
31,0,53,316,2014.0,9,128885.0,1.6094379124341003,0,0,1
32,1,53,1006,2007.0,10,96000.0,1.6094379124341003,0,1,0
33,1,53,316,2003.0,18,130000.0,1.2237754316221157,0,1,0
34,2,34,580,2014.0,22,118285.0,2.8903717578961645,0,1,0
