VehicleID,Location,Maker,Model,Year,Colour,Type,Distance,Amount
VHL12546,Abuja,Honda,Accord Coupe EX V-6,2011,Silver,Nigerian Used,,2.2
VHL18827,Ibadan,Hyundai,Sonata,2012,Silver,Nigerian Used,125000,3.5
VHL19499,Lagos,Lexus,RX 350,2010,Red,Foreign Used,110852,9.2
VHL17991,Abuja,Mercedes-Benz,GLE-Class,2017,Blue,Foreign Used,30000,22.8
VHL12170,Ibadan,Toyota,Highlander,2002,Red,Nigerian Used,125206,2.6
VHL19996,Lagos,Toyota,Venza V6,2011,Black,Foreign Used,,7.5
VHL16314,Lagos,Lexus,LX 570 AWD,2019,Black,Foreign Used,,79.0
VHL14299,Abuja,Toyota,Avalon,2015,Gold,Foreign Used,,9.0
VHL15637,Lagos,Toyota,Sienna,2012,Blue,Foreign Used,350882,7.76
VHL15752,Ibadan,Mercedes-Benz,C240 Matt,2004,Black,Foreign Used,179638,2.5
VHL10459,Lagos,Acura,RDX SH-AWD,2012,White,Foreign Used,75858,7.2
VHL15950,Lagos,Toyota,Avensis 1.8 Sedan,2003,Silver,Foreign Used,111289,3.26
VHL13916,Lagos,Toyota,Corolla,2008,Black,Nigerian Used,126075,1.91
VHL10209,Lagos,Toyota,Venza V6 AWD,2010,White,Foreign Used,,6.95
VHL15431,Abuja,Toyota,Hilux SR5+ 4x4,2018,Black,Foreign Used,16000,17.0
VHL14203,Lagos,Lexus,ES 350,2008,Blue,Nigerian Used,,3.55
VHL16065,Abuja,Toyota,Tacoma Limited,2017,Gray,Foreign Used,52352,22.0
VHL16048,Abuja,Toyota,Hilux,2020,White,Brand New,7523,23.0
VHL18666,Lagos,Lexus,RX 350 AWD,2015,Black,Foreign Used,,14.0
VHL10724,Lagos,Toyota,Avalon,2011,Gray,Foreign Used,75300,4.9
VHL13812,Lagos,Dodge,Caravan Cargo Van,2006,Red,Foreign Used,170671,2.48
VHL12573,Abuja,Nissan,Altima,2020,Gray,Foreign Used,9000,16.0
VHL14526,Lagos,Mercedes-Benz,M Class,2006,Silver,Foreign Used,,4.6
VHL10853,Ibadan,Toyota,Highlander XLE V6 4x4 (3.5L 6cyl 6A),2016,Gray,Foreign Used,20189,15.0
VHL17018,Abuja,Mercedes-Benz,E350,2014,Silver,Foreign Used,40000,11.85
VHL18463,Abuja,Honda,Ridgeline,2007,Black,Foreign Used,100000,4.1
VHL18173,Abuja,Kia,Optima,2014,Burgandy,Foreign Used,,4.5
VHL10241,Lagos,Lexus,ES 350,2007,Gray,Foreign Used,85474,4.2
VHL19024,Abuja,Toyota,Venza V6 AWD,2010,Green,Foreign Used,42483,9.0
VHL13114,Abuja,Toyota,Venza AWD,2010,Green,Foreign Used,49000,7.8
